Time MaxTime Xpos Ypos Zpos Xvel Yvel Zvel Mass 
0 7587177885065.31 -38808888754792.67 -47362542168942.89 81121015609902.66 -797.6915989412893 -1279.4720748933114 546.0923166340295 7.854716837404543e+28
0 7587177885065.31 -55617355193991.89 39535136852979.6 -25244856437414.367 -456.4260236671976 1003.3060739731786 -499.5634833209604 1.4351762361645129e+29
0 7587177885065.31 59576082354963.95 -12199945297483.51 -4457425252992.789 -599.1989291867693 142.18367190005577 -248.81528816500793 1.043530692577323e+29
0 7587177885065.31 -5136221557851.234 81394482989871.48 1911837626951.789 -635.4043695617862 277.0933859951999 -781.0784710863492 1.2561570290619843e+29
0 7587177885065.31 24872373484177.67 84151912752290.83 -6841223712567.352 632.4534024466311 404.98578553406696 -964.8932908076831 1.1373659855786021e+29
0 7587177885065.31 1764451088875.5 -9351801407377.729 -13708260011581.29 1006.3122659357498 -66.17628131625973 -1323.7790131510965 1.1126384248589453e+29
0 7587177885065.31 -54888207102398.66 99340504422803.42 -5858620996614.945 12.03676002643587 1021.4045404811453 428.8418493386605 6.688835113605338e+28
0 7587177885065.31 3902112450752.25 34677180958089.65 28041173287140.82 173.41097516536522 -839.9013894344517 238.42397880810051 7.0552990973123755e+28
0 7587177885065.31 44680054744355.11 8975030481234.756 37470882269323.01 -791.483402641275 935.299639389307 -955.4220359559588 5.030565447982577e+28
0 7587177885065.31 -15930008373242.234 -18507490600035.977 -41957316281685.95 926.8598253226065 979.8547856454047 -954.0025666689049 1.4534221193258669e+29
0 7587177885065.31 -35074566833049.234 59123499112601.96 -23264355577609.82 -1269.8783131574867 641.5696093911544 1325.82364588166 2.087490168407648e+29
0 7587177885065.31 -21293106451575.25 -42912763821607.6 -44986876772556.99 -1015.0037226774812 -1098.3316030310173 275.875467860534 2.6767354703174706e+29
0 7587177885065.31 65925394914730.766 3772851175101.662 -29587216754920.445 272.30698867853306 6.224618388691073 -238.2985727903406 2.4162935959868143e+29
0 7587177885065.31 7443115799230.203 -38082248654639.25 62389414960346.305 -168.4190273656517 -965.790640635661 800.8920886881662 4.853078350653928e+29
0 7587177885065.31 -4357447016744.203 -66943234423774.63 -26741543021162.758 585.8911419226837 -919.7952693135467 211.00964426221606 1.4301682499521957e+29
