Time MaxTime Xpos Ypos Zpos Xvel Yvel Zvel Mass 
0 31536000000 -5245015666403.451 8147774099909.323 -5301985808670.001 374.2863673218548 1401.049053353202 1209.8417497173978 1.53624476752553e+29
0 31536000000 -963857736826.6621 -7612015159748.636 -11368119943951.34 1609.9021703495398 259.13817726501907 1470.7183680463927 6.503553108355573e+29
0 31536000000 -6404762380415.584 12670270569782.602 3294587246158.454 1721.3806990061873 -3283.5262807811973 797.1699449972085 3.4669410712966405e+29
0 31536000000 807541135624.9355 -22806180649542.84 2607399583780.1924 1314.380858366701 1773.9533752869304 -1362.1479720111079 5.805134268957145e+28
0 31536000000 -1605074907534.4277 12146042507355.094 4926539906405.821 2896.5996087274893 -1981.5936691482193 -980.9819085260488 7.601715367376695e+28
0 31536000000 6953163084052.342 -13941366768845.055 9341341007809.305 -341.7572405953544 -2095.1263222349094 -495.1817216898465 1.9138331442137296e+29
0 31536000000 880124020770.4473 4340589832959.8115 -4352082379415.3994 -2818.135418815418 1701.3321610515154 -1142.9128396367446 3.3555295574137245e+29
0 31536000000 -8883243783253.002 14063232198134.484 5702472523350.903 -356.0699163048552 1935.8981584256549 -2241.375924676627 4.83584550187849e+28
0 31536000000 2070721145382.1777 4189046256648.585 16232312236596.883 3312.4242855754196 2301.4503691668697 642.5708254442096 2.2201904241744726e+29
0 31536000000 7420919323220.592 -2477466816434.0166 8354436546052.462 -76.23451718127384 -1128.4805979663058 1608.9254188871087 2.792151827061035e+29
