Time MaxTime Xpos Ypos Zpos Xvel Yvel Zvel Mass 
8559854592708.396 9460800000000 -5780043034487437.0 1743557675983598.5 -1448642563093577.2 -305.31806228634247 89.00533989249081 -3.839491057292274 5.836043893393303e+29
8559854592708.396 9460800000000 -282328287788288.06 9885492261751320.0 1.329122245120233e+16 -29.701678946017715 1141.8547663574682 1529.3606343216068 1.0873071342611173e+29
8559854592708.396 9460800000000 -1.4606173731190382e+16 -4148895595310303.0 2393317841361860.5 -1681.081608068369 -461.78056018603814 274.0434277992817 1.9733593330691017e+29
8559854592708.396 9460800000000 -817319758108380.5 4768134676521060.0 -1092118021971380.1 997.9845756072498 -425.9934218199572 -320.56153170478393 3.4986389901675356e+29
8559854592708.396 9460800000000 -780859036755244.8 4827557683801736.0 -924878933437496.4 -469.50431151049264 365.26903744144846 -363.80739725742893 2.0504661544630406e+29
8559854592708.396 9460800000000 -5768552449320631.0 1751007781913390.2 -1449847136839351.8 820.5481200440266 719.466520869082 -1282.3870583166952 9.954967679658952e+28
8559854592708.396 9460800000000 -5774854533486988.0 1749465958254571.2 -1456131921953259.8 -2797.058103483077 1136.9039970957392 119.71737463603148 2.0141903255096508e+29
8559854592708.396 9460800000000 -2922434492379723.5 6452273574915954.0 1935307513909672.0 -246.52243527714552 596.7877258816699 122.10700750478031 3.9243540980248085e+28
8559854592708.396 9460800000000 -5839957990047935.0 1820033887115575.0 -1562311308779612.2 -59.24687765495511 -253.59198333812336 69.70120111461569 2.12008187532823e+29
8559854592708.396 9460800000000 -5637343436457745.0 1640398935492852.2 -1520179633928758.0 -721.2265753095945 25.52489094675427 -560.6595815982596 2.467339178543752e+29
8559854592708.396 9460800000000 -2474810425692543.0 4483111218911297.0 -4037647396503005.0 -287.79889039952934 499.44186951078103 -364.66859098138315 1.4281654288676308e+29
8559854592708.396 9460800000000 -821471127875487.6 4766257186336451.0 -1085342552904607.5 -1178.7042058086045 1682.435880058068 246.41269370349397 3.3446218044801955e+29
8559854592708.396 9460800000000 8414223259586231.0 -3688950894738851.0 -7474969095711455.0 960.231714884381 -414.18574346958684 -872.4764030881485 7.56766206122514e+28
8559854592708.396 9460800000000 -2808378518169852.0 6439512598563694.0 1899980955051362.2 -343.6433209924403 706.8650970642983 164.7160438882303 2.5106416370809052e+29
8559854592708.396 9460800000000 -5573257758581565.0 2116684130923863.2 -650877986177374.9 -648.9540422194796 177.41997853427426 -85.8798893722686 1.1266615359964821e+29
