Time MaxTime Xpos Ypos Zpos Xvel Yvel Zvel Mass 
2251630349105.3286 3153600000000 -1639576432916891.5 393251797406609.8 -260346909517772.28 -1123.6474893041075 -34.9988159900857 -304.2181750084187 5.836043893393303e+29
2251630349105.3286 3153600000000 -101212912913522.56 2668378116711928.0 3612843194890253.5 -26.38661756557733 1148.6307348014789 1545.0016712567242 1.0873071342611173e+29
2251630349105.3286 3153600000000 -3962175491355570.5 -1209771595665168.2 650664681292407.8 -1701.0871696607044 -475.61536274089474 281.40381317667624 1.9733593330691017e+29
2251630349105.3286 3153600000000 75196074065531.42 1266313814837157.5 -273818532198767.78 -469.83499629302014 783.1688876229741 -181.48083310685092 3.4986389901675356e+29
2251630349105.3286 3153600000000 38408281633119.766 1265531937116701.8 -336501494814732.8 518.7777789359594 697.0700505849416 -654.9256543299605 2.0504661544630406e+29
2251630349105.3286 3153600000000 -1550109698176701.0 233266708116460.56 -388765693970164.25 -658.834417693466 -296.6846812919035 -449.77461315945936 9.954967679658952e+28
2251630349105.3286 3153600000000 -1648589483211131.5 400990332446324.6 -258349454129110.7 575.8555313889109 911.8295381988846 156.2958864824598 2.0141903255096508e+29
2251630349105.3286 3153600000000 -767855703464810.8 1979789039908133.0 772735000145667.6 -699.0303494720459 788.7604583120332 338.03410336010865 3.9243540980248085e+28
2251630349105.3286 3153600000000 -1541582860579440.2 445398533673511.1 -445879741075876.56 -542.1080682731556 254.07761241251973 -368.5092709357946 2.12008187532823e+29
2251630349105.3286 3153600000000 -1939231938136954.8 470225594450948.4 -764318634750843.4 -685.4100455418671 238.44805248708917 -193.12802463086763 2.467339178543752e+29
2251630349105.3286 3153600000000 -667142361391053.6 1270113518415700.8 -1495130429835376.0 -282.98236922202597 530.1579286743414 -477.04276355666246 1.4281654288676308e+29
2251630349105.3286 3153600000000 63409180243847.87 1294374261109995.0 -321805495046133.75 -81.85020013365882 261.669347515703 272.0734886116236 3.3446218044801955e+29
2251630349105.3286 3153600000000 2329471632349544.0 -1059500987901219.5 -1955930565609237.5 974.2868047929276 -422.99331519949857 -880.0404049467215 7.56766206122514e+28
2251630349105.3286 3153600000000 -700572060778033.4 1945030234435374.5 747963929027906.1 -287.37503904143585 746.722931276173 212.40078019351097 2.5106416370809052e+29
2251630349105.3286 3153600000000 -1673295433338465.2 468306180147840.7 -167623308881942.84 -750.8393026736871 386.39138032866435 648.5337200617024 1.1266615359964821e+29
