Time MaxTime Xpos Ypos Zpos Xvel Yvel Zvel Mass 
6194036755386.133 6307200000000 -4129120171074583.0 1230828768639588.8 -924780613149232.1 -1176.6152798536843 613.6727177296286 -514.7772181233032 5.836043893393303e+29
6194036755386.133 6307200000000 -212569441830460.1 7182984619663221.0 9670630560245646.0 -29.21897224133043 1142.8089456489708 1531.5355364941283 1.0873071342611173e+29
6194036755386.133 6307200000000 -1.0625944496251328e+16 -3054349907258324.5 1743886035143434.2 -1683.8994802707177 -463.69670637538314 275.06221025835947 1.9733593330691017e+29
6194036755386.133 6307200000000 -437616545368765.6 3467247684698783.0 -780101042697684.2 -494.90982894558505 109.16956075436673 155.90819597093292 3.4986389901675356e+29
6194036755386.133 6307200000000 -508826233903359.25 3482556105187402.0 -723595157045025.8 -60.85954991514172 596.3449570268069 -750.4667821559806 2.0504661544630406e+29
6194036755386.133 6307200000000 -4097250968797680.5 865574476415604.5 -760221554472551.8 -710.6491334696906 276.6303503917026 -192.64284156832548 9.954967679658952e+28
6194036755386.133 6307200000000 -4129418384535079.0 1227270152828193.0 -918518212235483.1 1010.4573208342123 -1111.6595639636955 698.9197828211861 2.0141903255096508e+29
6194036755386.133 6307200000000 -2139452308496351.0 4815282308846481.0 1547217791817115.8 -387.9712465797607 630.4395266289126 178.73558872537873 3.9243540980248085e+28
6194036755386.133 6307200000000 -4789288884667499.0 1585820918694009.0 -1130466850769947.8 -606.261385382299 216.00492424388315 -227.96933741939588 2.12008187532823e+29
6194036755386.133 6307200000000 -4244509773804748.5 1029833672046939.5 -1506879244308115.8 -743.6100735523378 247.32265426043602 -155.9695295074925 2.467339178543752e+29
6194036755386.133 6307200000000 -1794439171410456.0 3296208973344515.5 -3152177214497756.5 -287.2775071485775 504.38554749287835 -385.5568497942944 1.4281654288676308e+29
6194036755386.133 6307200000000 -416671771390872.2 3486157168738829.5 -796276135658629.9 161.22428519346153 989.7247144315443 -15.767591699059297 3.3446218044801955e+29
6194036755386.133 6307200000000 6140326024040703.0 -2707759662291125.0 -5409648641699308.0 962.214755950391 -415.3928319101873 -873.5539746509534 7.56766206122514e+28
6194036755386.133 6307200000000 -2023295551665983.5 4789198269903113.0 1509582351123418.5 -324.5375188489179 713.7745939366275 170.8142324871781 2.5106416370809052e+29
6194036755386.133 6307200000000 -4095587371158700.5 1500520004635592.0 -749205043668045.8 -587.6422020174028 445.2961341578375 228.71467767430985 1.1266615359964821e+29
