10,0,0
10,4,0
10,2,0
10,4,0
10,0,0
10,4,0
10,6,3
10,2,3
10,2,0
10,4,3
10,2,0
10,6,0
10,4,0
10,6,0
10,4,0
10,4,3
10,4,3
10,4,0
10,4,3
10,0,0
10,2,0
10,0,0
10,4,3
10,2,3
10,2,0
10,6,0
10,2,3
10,2,3
10,2,0
10,2,0
10,4,3
10,2,0
10,4,0
10,0,0
10,2,3
10,2,0
10,2,0
10,0,0
10,4,0
10,2,0
10,6,3
10,2,3
10,2,0
10,0,0
10,6,0
10,6,3
10,2,0
10,2,0
10,2,3
10,0,0
10,4,3
10,4,3
10,4,0
10,4,0
10,4,0
10,2,0
10,2,0
10,4,3
10,2,3
10,4,0
10,2,0
10,2,3
10,4,0
10,0,0
10,2,0
10,2,0
10,2,0
10,4,0
10,2,0
10,4,0
10,2,0
10,6,0
10,2,0
10,4,0
10,4,0
10,4,3
10,0,0
10,2,3
10,2,0
10,0,0
10,4,3
10,2,0
10,4,0
10,4,6
10,4,0
10,4,3
10,4,0
10,0,0
10,4,3
10,0,0
10,2,0
10,2,0
10,0,0
10,2,0
10,4,0
10,4,3
10,8,0
10,2,0
10,2,0
10,6,3
10,2,0
